DATE,VALUE
8/1/2001,8.3
9/1/2001,
10/1/2001,
11/1/2001,7.86
12/1/2001,
1/1/2002,
2/1/2002,7.8
3/1/2002,
4/1/2002,
5/1/2002,7.74
6/1/2002,
7/1/2002,
8/1/2002,7.58
9/1/2002,
10/1/2002,
11/1/2002,7.34
12/1/2002,
1/1/2003,
2/1/2003,7.11
3/1/2003,
4/1/2003,
5/1/2003,7.05
6/1/2003,
7/1/2003,
8/1/2003,6.76
9/1/2003,
10/1/2003,
11/1/2003,6.82
12/1/2003,
1/1/2004,
2/1/2004,6.72
3/1/2004,
4/1/2004,
5/1/2004,6.43
6/1/2004,
7/1/2004,
8/1/2004,6.55
9/1/2004,
10/1/2004,
11/1/2004,6.71
12/1/2004,
1/1/2005,
2/1/2005,6.86
3/1/2005,
4/1/2005,
5/1/2005,6.92
6/1/2005,
7/1/2005,
8/1/2005,7.08
9/1/2005,
10/1/2005,
11/1/2005,7.43
12/1/2005,
1/1/2006,
2/1/2006,7.39
3/1/2006,
4/1/2006,
5/1/2006,7.6
6/1/2006,
7/1/2006,
8/1/2006,7.95
9/1/2006,
10/1/2006,
11/1/2006,7.92
12/1/2006,
1/1/2007,
2/1/2007,7.74
3/1/2007,
4/1/2007,
5/1/2007,7.92
6/1/2007,
7/1/2007,
8/1/2007,7.82
9/1/2007,
10/1/2007,
11/1/2007,7.59
12/1/2007,
1/1/2008,
2/1/2008,7.27
3/1/2008,
4/1/2008,
5/1/2008,6.84
6/1/2008,
7/1/2008,
8/1/2008,6.92
9/1/2008,
10/1/2008,
11/1/2008,7.06
12/1/2008,
1/1/2009,
2/1/2009,6.92
3/1/2009,
4/1/2009,
5/1/2009,6.79
6/1/2009,
7/1/2009,
8/1/2009,6.61
9/1/2009,
10/1/2009,
11/1/2009,6.55
12/1/2009,
1/1/2010,
2/1/2010,6.45
3/1/2010,
4/1/2010,
5/1/2010,6.26
6/1/2010,
7/1/2010,
8/1/2010,6.24
9/1/2010,
10/1/2010,
11/1/2010,5.87
12/1/2010,
1/1/2011,
2/1/2011,5.85
3/1/2011,
4/1/2011,
5/1/2011,5.79
6/1/2011,
7/1/2011,
8/1/2011,5.89
9/1/2011,
10/1/2011,
11/1/2011,5.4
12/1/2011,
1/1/2012,
2/1/2012,5.07
3/1/2012,
4/1/2012,
5/1/2012,4.88
6/1/2012,
7/1/2012,
8/1/2012,4.88
9/1/2012,
10/1/2012,
11/1/2012,4.82
12/1/2012,
1/1/2013,
2/1/2013,4.69
3/1/2013,
4/1/2013,
5/1/2013,4.13
6/1/2013,
7/1/2013,
8/1/2013,4.46
9/1/2013,
10/1/2013,
11/1/2013,4.42
12/1/2013,
1/1/2014,
2/1/2014,4.23
3/1/2014,
4/1/2014,
5/1/2014,4.5
6/1/2014,
7/1/2014,
8/1/2014,4.16
9/1/2014,
10/1/2014,
11/1/2014,4.06
12/1/2014,
1/1/2015,
2/1/2015,4.53
3/1/2015,
4/1/2015,
5/1/2015,4.15
6/1/2015,
7/1/2015,
8/1/2015,4.09
9/1/2015,
10/1/2015,
11/1/2015,4
12/1/2015,
1/1/2016,
2/1/2016,4.17
3/1/2016,
4/1/2016,
5/1/2016,4.33
6/1/2016,
7/1/2016,
8/1/2016,4.25
9/1/2016,
10/1/2016,
11/1/2016,4.45
12/1/2016,
1/1/2017,
2/1/2017,4.52
